ProDataCSV

Title: Sat Mar 09 13:45:26 2024

Remarks:
#User: SX User
#Date: 2024/03/09
#HV (Absorbance channel): 289.551
#Samples per point: 240
#Sample period: 12.5 us
#Temperature: 19.78 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Mar 09 13:59:22 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 3s,linear,oversampled,external trigger,pressure hold in operation
Repeat,5 repeats in set., -iter option selected
Wavelength,Wavelength: 250nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,250
Time,Repeat
,0,1,2,3,4,
0.003,0.0575216,0.0576087,0.0582058,0.057384,0.0578895
0.006,0.0602183,0.0600449,0.0605166,0.0598409,0.0604033
0.009,0.0623468,0.0622851,0.0629871,0.0620545,0.0625457
0.012,0.0642277,0.0640048,0.0646627,0.0639075,0.0643023
0.015,0.0656564,0.0655129,0.0662202,0.0654272,0.0655819
0.018,0.0670465,0.0673271,0.0676846,0.0668218,0.0672577
0.021,0.0687537,0.0689567,0.0692474,0.0686371,0.0689514
0.024,0.0698836,0.0701419,0.0703262,0.0697535,0.0700531
0.027,0.0706696,0.0707647,0.0710371,0.0706668,0.0709623
0.03,0.0715339,0.0713659,0.0717877,0.0715694,0.0714766
0.033,0.0722841,0.0721939,0.0725607,0.0721448,0.072091
0.036,0.0728085,0.0729262,0.0731873,0.0727583,0.0729827
0.039,0.0734194,0.0737495,0.0738906,0.0735726,0.0736825
0.042,0.0738174,0.0744536,0.0743954,0.074026,0.0744229
0.045,0.0743694,0.0747986,0.0747535,0.0746148,0.0749502
0.048,0.0748906,0.0750333,0.0751078,0.0749429,0.0750758
0.051,0.0751313,0.0751618,0.0752328,0.0749453,0.0752157
0.054,0.0753693,0.0751629,0.0754228,0.0752006,0.0754204
0.057,0.0754898,0.0756705,0.075839,0.0754659,0.0755876
0.06,0.0754615,0.0758837,0.0759217,0.0754761,0.0759263
0.063,0.0757152,0.0760275,0.0760553,0.0757659,0.0760887
0.066,0.0758554,0.0761589,0.0760778,0.075846,0.0761405
0.069,0.0758979,0.0759002,0.0758091,0.0758133,0.0761582
0.072,0.075886,0.0756707,0.0757692,0.0758192,0.0758888
0.075,0.0755509,0.075761,0.0757698,0.0757365,0.0758297
0.078,0.0754176,0.0757209,0.0757429,0.0756944,0.0758717
0.081,0.0755082,0.0759334,0.0760075,0.0758344,0.0758886
0.084,0.0753658,0.0759022,0.0757703,0.0755931,0.0759389
0.087,0.0753195,0.0755451,0.0754838,0.0754966,0.0757944
0.09,0.0752274,0.0753197,0.0753661,0.0753584,0.0755171
0.093,0.0749858,0.0751142,0.0750991,0.0751859,0.0753035
0.096,0.0749446,0.0750123,0.0751034,0.0751378,0.0750463
0.099,0.0747428,0.0751196,0.075195,0.0748653,0.0749806
0.102,0.0745924,0.0749782,0.0748889,0.0746338,0.0749866
0.105,0.0744009,0.0747461,0.0746895,0.074475,0.0747447
0.108,0.0740611,0.0744341,0.074422,0.0742873,0.0745786
0.111,0.0739655,0.0741268,0.0740637,0.0742519,0.0744744
0.114,0.0738661,0.0738843,0.0739537,0.0740336,0.0740266
0.117,0.0734769,0.0736911,0.073737,0.0736929,0.0737377
0.12,0.0732677,0.0734627,0.0735218,0.073464,0.0735412
0.123,0.0730559,0.0734089,0.0734908,0.0732518,0.0733025
0.126,0.072607,0.0732433,0.0731638,0.0730895,0.0732768
