ProDataCSV

Title: Tue Jun 25 19:15:36 2024

Remarks:
#User: SX User
#Date: 2024/06/25
#HV (Absorbance channel): 261.642
#Samples per point: 16
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Tue Jun 25 19:16:27 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 0.2s,linear,oversampled,external trigger,pressure hold in operation
Repeat,5 repeats in set., -iter option selected
Wavelength,Wavelength: 255nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,255
Time,Repeat
,0,1,2,3,4,
0.0002,0.0539858,0.0539326,0.0539504,0.0537527,0.0532051
0.0004,0.0540002,0.0536095,0.0542088,0.0539402,0.0534505
0.0006,0.0536866,0.0534972,0.0539492,0.0539926,0.053454
0.0008,0.0540698,0.0537574,0.0539545,0.0544955,0.0532118
0.001,0.0543883,0.0539984,0.0539288,0.0543409,0.0532034
0.0012,0.0550037,0.0546249,0.0542706,0.0546375,0.0539176
0.0014,0.0555533,0.0555447,0.0546129,0.0551424,0.0545514
0.0016,0.0555001,0.0559389,0.0550183,0.0551814,0.0544498
0.0018,0.0558916,0.0556892,0.0550274,0.055001,0.0543558
0.002,0.056605,0.056407,0.055331,0.0554135,0.0549488
0.0022,0.0571994,0.0569507,0.0559134,0.0560083,0.0552858
0.0024,0.0574084,0.0569805,0.0562538,0.0564114,0.0555711
0.0026,0.057427,0.0569045,0.0565565,0.0563823,0.0556851
0.0028,0.0577291,0.0570418,0.0569658,0.0564103,0.0561226
0.003,0.0578935,0.057269,0.057226,0.0565271,0.0564841
0.0032,0.0579661,0.0576031,0.0574585,0.0568839,0.0566698
0.0034,0.0582603,0.0578144,0.0579561,0.0576639,0.0573689
0.0036,0.058591,0.0583182,0.058239,0.0582328,0.0577388
0.0038,0.0587572,0.0587182,0.0584243,0.0585721,0.0581772
0.004,0.0593679,0.0590528,0.0586847,0.0587572,0.0583601
0.0042,0.0598441,0.0595346,0.0590709,0.0593696,0.0587554
0.0044,0.0602609,0.0597958,0.0595453,0.0595429,0.0589282
0.0046,0.0607114,0.0600704,0.0598637,0.0596336,0.0591765
0.0048,0.0610464,0.060619,0.0601867,0.0601704,0.0595059
0.005,0.0613698,0.0608538,0.0606107,0.0607203,0.0596138
0.0052,0.0615876,0.0612629,0.0607967,0.0608772,0.0599479
0.0054,0.0618497,0.0615203,0.0608454,0.0608722,0.0602514
0.0056,0.0618104,0.061657,0.0610595,0.0611538,0.0604815
0.0058,0.0620559,0.061766,0.0609938,0.0613215,0.0606472
0.006,0.0623028,0.062078,0.0612362,0.0615454,0.0608927
0.0062,0.0627775,0.0624427,0.0617669,0.0618309,0.0611797
0.0064,0.0628196,0.0626375,0.0621298,0.0622715,0.06152
0.0066,0.0629522,0.062965,0.0623764,0.0626616,0.0616892
0.0068,0.0632596,0.0631849,0.0626312,0.0629886,0.062002
0.007,0.0634087,0.0634536,0.0630032,0.063285,0.0623019
0.0072,0.0634763,0.0637545,0.0631583,0.0633992,0.0625148
0.0074,0.0638694,0.0639619,0.0634605,0.0633603,0.0628049
0.0076,0.0642072,0.0641658,0.0637395,0.06368,0.0631514
0.0078,0.0645134,0.0643572,0.0639254,0.0638015,0.0632712
0.008,0.0648282,0.0646276,0.0641733,0.0640727,0.0633878
0.0082,0.0653108,0.0648588,0.0644567,0.0641146,0.0636651
