ProDataCSV

Title: Mon Mar 18 16:56:47 2024

Remarks:
#User: SX User
#Date: 2024/03/18
#HV (Absorbance channel): 238.586
#Samples per point: 8
#Sample period: 12.5 us
#Temperature: 19.82 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Mon Mar 18 17:16:48 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 0.1s,linear,oversampled,external trigger,pressure hold in operation
Repeat,5 repeats in set., -iter option selected
Wavelength,Wavelength: 263nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,263
Time,Repeat
,0,1,2,3,4,
0.0001,0.0399208,0.0395637,0.0385691,0.0406416,0.0391968
0.0002,0.03985,0.0395592,0.0386141,0.0405629,0.0390561
0.0003,0.0393421,0.0398161,0.0385179,0.0399013,0.0391395
0.0004,0.0390666,0.0396667,0.0383807,0.0393393,0.038907
0.0005,0.0389003,0.0398172,0.0385335,0.0391974,0.0389259
0.0006,0.0389387,0.0395737,0.0384907,0.0392024,0.0389398
0.0007,0.0387641,0.0394289,0.0385174,0.0391156,0.039326
0.0008,0.0383224,0.039243,0.0384707,0.0389815,0.0396339
0.0009,0.0383535,0.0389571,0.0385079,0.0390817,0.0394334
0.001,0.0383041,0.0387008,0.0385001,0.0391239,0.0395876
0.0011,0.0383496,0.0389025,0.0386574,0.0392859,0.0396851
0.0012,0.0388008,0.0390466,0.0388336,0.0392837,0.0398662
0.0013,0.0392697,0.0392441,0.038986,0.0398116,0.0401455
0.0014,0.039557,0.0396963,0.0395453,0.0402454,0.040401
0.0015,0.039825,0.040049,0.0401522,0.0405796,0.0406851
0.0016,0.0399231,0.0402465,0.0401929,0.0408918,0.0409376
0.0017,0.0400685,0.0403458,0.040435,0.0409884,0.0408532
0.0018,0.0403603,0.0406924,0.0405656,0.0412835,0.0409163
0.0019,0.0407516,0.0408974,0.0410113,0.0415794,0.0413808
0.002,0.0411824,0.0415129,0.0413993,0.0418968,0.0418072
0.0021,0.0416578,0.0419108,0.0418022,0.042364,0.0421063
0.0022,0.0420329,0.0422502,0.0422015,0.0426736,0.0425395
0.0023,0.0423236,0.042636,0.0425389,0.0430242,0.0429642
0.0024,0.0425787,0.0429378,0.0428363,0.0433736,0.0433213
0.0025,0.0430405,0.0432242,0.0430899,0.0436816,0.0437845
0.0026,0.0432393,0.0435933,0.0433387,0.0439076,0.0442397
0.0027,0.0435197,0.0439673,0.0435871,0.0441338,0.0445325
0.0028,0.043951,0.0443714,0.0440455,0.0446452,0.0446717
0.0029,0.0442138,0.0443872,0.0442999,0.0449806,0.0450815
