ProDataCSV

Title: Sat Jun 22 19:31:15 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:01 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
Time,Repeat
,0,1,2,
0.12,-0.00981546,-0.00945067,-0.00987381
0.24,-0.00981222,-0.00946663,-0.00979334
0.36,-0.00984345,-0.00942732,-0.00967959
0.48,-0.00968121,-0.0092742,-0.0095456
0.6,-0.00949697,-0.00907879,-0.00943902
0.72,-0.00934408,-0.00892697,-0.00928459
0.84,-0.00920649,-0.00879558,-0.00915494
0.96,-0.00905521,-0.00881314,-0.00899959
1.08,-0.00900212,-0.00875165,-0.00877483
1.2,-0.00893736,-0.00856006,-0.0086363
1.32,-0.00885925,-0.00843157,-0.00852666
1.44,-0.00879193,-0.0083526,-0.00837134
1.56,-0.00871598,-0.00828068,-0.00825661
1.68,-0.00864635,-0.00815973,-0.00820372
1.8,-0.00858869,-0.00801566,-0.00822318
1.92,-0.00852006,-0.00791588,-0.00825605
2.04,-0.00848199,-0.0079234,-0.00819544
2.16,-0.00847021,-0.00790709,-0.00819483
2.28,-0.00844091,-0.00784699,-0.00821277
2.4,-0.00835443,-0.00776533,-0.00813757
2.52,-0.00818366,-0.00762907,-0.00800494
2.64,-0.00798684,-0.00747943,-0.00789605
2.76,-0.0078838,-0.00736466,-0.0077548
2.88,-0.0078447,-0.00725806,-0.00767815
3,-0.00786601,-0.00717496,-0.00761864
3.12,-0.00789854,-0.00710784,-0.0076221
3.24,-0.00790424,-0.0070703,-0.00765292
3.36,-0.00791532,-0.0070347,-0.00754619
3.48,-0.00783092,-0.00700433,-0.00743322
3.6,-0.00772907,-0.00696037,-0.00736543
3.72,-0.0076664,-0.00688817,-0.00735647
3.84,-0.00747068,-0.00675515,-0.0073581
3.96,-0.00731386,-0.00669836,-0.00725058
4.08,-0.00728296,-0.00669077,-0.00717776
4.2,-0.00732786,-0.00672584,-0.00715108
4.32,-0.00736181,-0.00673863,-0.00704448
4.44,-0.00728469,-0.00675459,-0.00696266
4.56,-0.00714507,-0.00679307,-0.00692063
4.68,-0.00705665,-0.00681417,-0.0069355
4.8,-0.00704529,-0.00682452,-0.00690712
4.92,-0.00708283,-0.00679119,-0.00691818
5.04,-0.00708212,-0.00658818,-0.00687166
5.16,-0.00708161,-0.00650429,-0.00686631
5.28,-0.00707687,-0.00643094,-0.00688965
5.4,-0.00694483,-0.00638498,-0.00683711
5.52,-0.00677656,-0.00637243,-0.00684215
5.64,-0.00671784,-0.00637452,-0.00689036
5.76,-0.00665809,-0.00634421,-0.00684037
5.88,-0.00665793,-0.00628038,-0.00675826
6,-0.00667955,-0.00623073,-0.00667731
6.12,-0.00659624,-0.00619745,-0.00657064
6.24,-0.00651745,-0.00621858,-0.00652484
6.36,-0.00639952,-0.00623098,-0.00649567
6.48,-0.00633467,-0.0062365,-0.00642089
6.6,-0.00633983,-0.00623767,-0.00642309
6.72,-0.00636294,-0.00617719,-0.00638437
6.84,-0.00635942,-0.00613799,-0.00629936
6.96,-0.00641987,-0.00608199,-0.00621715
7.08,-0.00636478,-0.00598227,-0.00607668
7.2,-0.00620026,-0.00588407,-0.00604778
7.32,-0.00616321,-0.00578686,-0.00607867
7.44,-0.0061409,-0.00572095,-0.00606723
7.56,-0.00606882,-0.00571073,-0.00589908
7.68,-0.0060607,-0.0056861,-0.00588912
7.8,-0.00603966,-0.00562928,-0.00587181
7.92,-0.00602343,-0.00555773,-0.00569086
8.04,-0.00596731,-0.00551842,-0.00573204
8.16,-0.0059237,-0.00554669,-0.00579646
8.28,-0.00591803,-0.00555614,-0.00573173
8.4,-0.00593693,-0.00557408,-0.00573669
8.52,-0.00584877,-0.00558011,-0.00570532
8.64,-0.00580019,-0.00556355,-0.00562473
8.76,-0.00574895,-0.00549337,-0.00563459
8.88,-0.0056674,-0.00535149,-0.00562085
9,-0.00563689,-0.00519329,-0.00557894
9.12,-0.00561589,-0.00511655,-0.00559718
9.24,-0.00561793,-0.00513036,-0.00558778
9.36,-0.00559529,-0.00522551,-0.00556498
9.48,-0.00561313,-0.00522582,-0.00551893
9.6,-0.00563219,-0.00516408,-0.0055062
9.72,-0.00563061,-0.00510309,-0.00542701
9.84,-0.00554183,-0.00507643,-0.00538288
9.96,-0.00547553,-0.00504173,-0.00541244
10.08,-0.00546811,-0.00503401,-0.00537138
10.2,-0.00541259,-0.00503191,-0.00531998
10.32,-0.00537286,-0.00499716,-0.00527538
10.44,-0.0053074,-0.00491506,-0.00526439
10.56,-0.00527354,-0.00486888,-0.00523979
10.68,-0.0052582,-0.00478978,-0.00523493
10.8,-0.0052584,-0.00478901,-0.00517149
10.92,-0.00520495,-0.00482977,-0.00509306
11.04,-0.00520444,-0.00486684,-0.00497684
11.16,-0.0051144,-0.00488337,-0.00487452
11.28,-0.00496875,-0.00483765,-0.0048695
11.4,-0.00486417,-0.00474047,-0.00487636
11.52,-0.00481825,-0.00473407,-0.00492694
11.64,-0.00490195,-0.00469602,-0.00503549
11.76,-0.00495391,-0.00456576,-0.00514376
11.88,-0.00494234,-0.00445539,-0.00524086
12,-0.00494367,-0.00443382,-0.00522679
12.12,-0.00488516,-0.00438621,-0.00517088
12.24,-0.00479367,-0.0043165,-0.00507822
12.36,-0.00466001,-0.00426129,-0.00497618
12.48,-0.00458051,-0.00421715,-0.00493129
12.6,-0.00451237,-0.00419859,-0.00489243
12.72,-0.00442388,-0.00424417,-0.00479019
12.84,-0.00442654,-0.00421581,-0.00470744
12.96,-0.0044229,-0.00414705,-0.00462533
13.08,-0.00449705,-0.00404571,-0.004628
13.2,-0.00451247,-0.00403684,-0.00465397
13.32,-0.00450612,-0.00412341,-0.00460254
13.44,-0.00451545,-0.00416936,-0.00448137
13.56,-0.00449239,-0.00417823,-0.00434741
13.68,-0.0044371,-0.00420869,-0.00424811
13.8,-0.00443341,-0.00421745,-0.00425191
13.92,-0.00450335,-0.00424109,-0.0043144
14.04,-0.00457851,-0.00425688,-0.00439302
14.16,-0.00454158,-0.00423222,-0.00443454
14.28,-0.0043961,-0.00412382,-0.00441691
14.4,-0.0042738,-0.00404028,-0.00440814
14.52,-0.00419043,-0.00401494,-0.00435561
14.64,-0.00416233,-0.00401319,-0.00429964
14.76,-0.00416433,-0.00402304,-0.00421315
14.88,-0.004135,-0.00405274,-0.00415562
15,-0.00405746,-0.00407556,-0.00417526
15.12,-0.00397708,-0.004141,-0.004191
